"Country","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998"
"Honduras",5.84807825088501,5.77661275863647,5.65676736831665,5.70800065994263,6.06916236877441,6.41062784194946,6.75236415863037,7.20061016082764,7.32633543014526,7.5261869430542,7.73629951477051,7.47950792312622,7.93379020690918,8.44914627075195,8.46705055236816,8.99110221862793,9.15930557250977,9.58045768737793,9.92441940307617
"Jamaica",7.96287870407104,8.17305564880371,8.3421745300293,8.50143337249756,8.37031269073486,8.12392139434814,8.2768611907959,8.9266242980957,9.28139495849609,9.94717788696289,10.3650131225586,10.8664970397949,11.0789957046509,12.1223163604736,12.2900152206421,12.5788259506226,12.5645208358765,12.4212274551392,12.1312475204468
"Nicaragua",5.38926601409912,5.67830801010132,5.63195276260376,5.89176654815674,5.79949617385864,5.56276893615723,5.506178855896,5.46728563308716,4.78661823272705,4.70341634750366,4.70094728469849,4.69204950332642,4.71017694473267,4.69166898727417,4.84826421737671,5.13488912582397,5.46065998077393,5.67726564407349,5.88798761367798
"Panama",8.76210021972656,9.56881046295166,10.0805940628052,9.62783813476562,9.88870143890381,10.3774242401123,10.7476682662964,10.5532360076904,9.1412296295166,9.28403854370117,10.0359525680542,10.9812393188477,11.8818855285645,12.5301303863525,12.8872575759888,13.113000869751,13.6479730606079,14.529767036438,15.5964698791504
"Puerto Rico",48.4030990600586,48.9587364196777,48.1966247558594,47.06787109375,49.8583793640137,51.4027137756348,53.9612197875977,57.0742416381836,60.434986114502,63.0548133850098,61.2637138366699,62.6754684448242,65.5360107421875,68.5798416137695,71.450569152832,74.7008514404297,76.4292144775391,80.1590270996094,84.592399597168
"St. Kitts and Nevis",0.227680951356888,0.231201976537704,0.23247167468071,0.235229462385178,0.256086111068726,0.277979791164398,0.308161050081253,0.328343123197556,0.358636289834976,0.378286957740784,0.396737992763519,0.389341950416565,0.405962377786636,0.433576494455338,0.456561028957367,0.481138169765472,0.509251236915588,0.544000625610352,0.54135537147522
"St. Lucia",0.420722663402557,0.447087496519089,0.456445455551147,0.478762805461884,0.513127624988556,0.555732607841492,0.634606719017029,0.660975515842438,0.751106798648834,0.81987339258194,0.901382446289062,0.906154811382294,0.976332604885101,0.982333958148956,0.999370872974396,1.01642823219299,1.04634571075439,1.0405033826828,1.10570383071899
"St. Vincent and Grenadines",0.233303636312485,0.244068264961243,0.254993796348572,0.260521769523621,0.277684032917023,0.294839084148407,0.311352223157883,0.3127161860466,0.35672852396965,0.361740827560425,0.376752734184265,0.381031692028046,0.40533047914505,0.422561168670654,0.417288690805435,0.449701219797134,0.455489426851273,0.471458107233047,0.490738302469254
"Trinidad and Tobago",10.2092304229736,10.6396236419678,11.0449132919312,9.90580654144287,9.33613300323486,8.95136165618896,8.6575927734375,8.2626838684082,7.93898296356201,7.87332582473755,7.99208831787109,8.20643997192383,8.07126331329346,7.95394945144653,8.23757934570312,8.6212158203125,9.23629474639893,9.93112754821777,10.7379884719849
"South America",1695.03499877453,1651.6310583353,1643.50715661049,1602.42638289928,1666.241335392,1742.35133469105,1869.40537488461,1942.57123613358,1954.99425899982,1967.14248430729,1942.32899320126,2010.0489231348,2052.21396875381,2149.02934014797,2254.0668939352,2338.72573661804,2400.58907711506,2511.33005475998,2538.76418888569
"Argentina",222.095855712891,210.569549560547,209.020462036133,218.110961914062,221.536926269531,210.041305541992,222.965957641602,228.996887207031,226.500991821289,210.290420532227,205.102111816406,223.834320068359,241.600692749023,261.428802490234,276.686309814453,268.813995361328,283.670501708984,306.679168701172,318.486846923828
"Brazil",1007.71417236328,963.441711425781,969.031982421875,935.989990234375,985.308654785156,1063.59985351562,1148.56335449219,1189.90734863281,1188.68566894531,1227.66809082031,1189.58154296875,1207.56726074219,1201.92895507812,1258.0009765625,1325.10974121094,1383.63623046875,1414.18054199219,1462.18969726562,1467.13342285156
"Other South America",465.224970698357,477.619797348976,465.454712152481,448.325430750847,459.395754337311,468.71017563343,497.876062750816,523.667000293732,539.807598233223,529.18397295475,547.6453384161,578.647342324257,608.684320926666,629.599561095238,652.270842909813,686.275510787964,702.738033413887,742.461188793182,753.143919110298
"Bolivia",9.20273780822754,9.228102684021,8.86463165283203,8.50631237030029,8.48924255371094,8.3469295501709,8.13208961486816,8.33242225646973,8.57485485076904,8.89985275268555,9.3124303817749,9.80287170410156,9.96427631378174,10.3896808624268,10.8745946884155,11.3833379745483,11.8798046112061,12.468355178833,13.0954322814941
