"Country","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"European Union 15",12209.8223724365,12674.3657417297,12960.9855308533,13112.0371742249,13258.9515380859,13568.1368408203,13830.7604217529,14264.5398750305,14660.4829368591,14691.0239143372,14043.6486320496,14358.1775932312,14604.564250946,14541.7371139526,14580.5243225098,14823.6727333069,15154.9663352966,15447.9715461731,15816.4372901917,16098.7429618835,16306.9923553467
"Belgium Luxembourg",387.976257324219,404.001010894775,408.993541717529,416.806537628174,421.374542236328,436.439666748047,446.938858032227,459.512699127197,478.593761444092,479.858753204346,468.993907928467,483.383388519287,491.997646331787,495.073600769043,498.983306884766,508.302722930908,519.894145965576,529.367694854736,539.384098052979,548.406002044678,556.673828125
"Austria",300.909393310547,311.067260742188,315.009002685547,320.211547851562,323.226257324219,332.066864013672,339.518676757812,351.245788574219,364.338195800781,369.659057617188,355.742950439453,362.278289794922,372.866943359375,375.404113769531,375.499847412109,377.98291015625,381.817565917969,389.769348144531,399.421722412109,409.086822509766,415.685211181641
"Belgium",352.494232177734,365.595336914062,369.615447998047,375.924407958984,379.826324462891,393.390655517578,402.524139404297,412.797973632812,427.976226806641,429.888916015625,421.202056884766,433.266479492188,440.608154296875,443.865264892578,445.903625488281,452.942321777344,462.149688720703,468.981658935547,477.910400390625,485.019958496094,491.831817626953
"Denmark",253.437057495117,262.932983398438,265.097320556641,266.333587646484,267.372436523438,274.506530761719,280.920776367188,291.913208007812,294.567413330078,293.059173583984,278.680084228516,283.894165039062,287.689208984375,288.3408203125,291.032012939453,295.744995117188,302.673065185547,312.497711181641,318.860687255859,326.485687255859,334.209838867188
"Finland",185.321838378906,196.021133422852,201.136795043945,204.570404052734,208.669387817383,217.00016784668,223.031951904297,232.014450073242,244.30891418457,246.224334716797,226.342681884766,233.553741455078,239.503601074219,236.156890869141,234.026702880859,233.172653198242,234.440078735352,240.794631958008,248.260177612305,252.307022094727,254.778579711914
"France",1968.44165039062,2045.6767578125,2086.25732421875,2109.94750976562,2127.31567382812,2187.51342773438,2223.896484375,2278.36694335938,2333.611328125,2339.56079101562,2272.337890625,2316.6357421875,2367.4326171875,2374.84594726562,2388.53271484375,2411.37133789062,2438.2080078125,2464.91748046875,2521.39916992188,2566.6044921875,2605.32397460938
"Germany",2750.9462890625,2830.59130859375,2878.64697265625,2872.93408203125,2852.43481445312,2886.37646484375,2907.2119140625,3018.11010742188,3108.17260742188,3138.08154296875,2959.30029296875,3082.96850585938,3203.94848632812,3217.390625,3231.16870117188,3303.08471679688,3360.55004882812,3435.490234375,3520.17602539062,3573.94506835938,3594.10815429688
"Greece",194.426116943359,202.047164916992,210.394973754883,218.648513793945,231.318145751953,243.025146484375,244.481216430664,258.300354003906,266.756439208984,265.862365722656,254.428329467773,240.48811340332,218.525543212891,202.57209777832,196.005874633789,197.45588684082,196.591354370117,196.215957641602,199.169219970703,203.021865844727,206.820159912109
"Ireland",145.274597167969,158.996856689453,167.389404296875,177.298553466797,182.652923583984,194.929672241211,206.040832519531,216.488952636719,228.015396118164,217.799438476562,206.736938476562,210.478851318359,211.201705932617,211.678421020508,214.539535522461,232.897033691406,291.499816894531,302.220642089844,326.83740234375,353.539611816406,373.160247802734
"Italy",1774.19982910156,1841.38793945312,1877.32043457031,1882.08776855469,1884.69677734375,1911.52722167969,1927.16052246094,1961.66918945312,1990.84045410156,1971.68835449219,1867.56469726562,1899.56164550781,1912.99792480469,1855.97314453125,1821.80358886719,1821.720703125,1835.89929199219,1859.64599609375,1890.662109375,1905.75207519531,1911.49304199219
"Luxembourg",35.4820251464844,38.4056739807129,39.3780937194824,40.8821296691895,41.5482177734375,43.0490112304688,44.4147186279297,46.7147254943848,50.6175346374512,49.9698371887207,47.7918510437012,50.1169090270996,51.3894920349121,51.2083358764648,53.0796813964844,55.3604011535645,57.744457244873,60.3860359191895,61.4736976623535,63.386043548584,64.8420104980469
"Netherlands",618.105041503906,644.038513183594,659.024963378906,660.456909179688,661.484802246094,674.614929199219,688.450500488281,712.277648925781,739.150817871094,755.192749023438,727.500732421875,737.269165039062,748.705627441406,740.991271972656,740.026672363281,750.560180664062,765.264953613281,782.037353515625,804.801696777344,825.706115722656,840.655517578125
"Portugal",186.214904785156,193.321182250977,197.078720092773,198.598052978516,196.750045776367,200.269378662109,201.835189819336,205.115081787109,210.256454467773,210.927703857422,204.342361450195,207.89306640625,204.366851806641,196.075103759766,194.266021728516,195.804977416992,199.313888549805,203.339019775391,210.468765258789,216.01936340332,220.694885253906
"Spain",922.348693847656,970.735107421875,1008.91357421875,1036.46728515625,1067.37365722656,1100.70544433594,1140.90368652344,1187.71179199219,1230.52514648438,1241.44165039062,1194.72338867188,1196.6708984375,1186.92553710938,1151.79907226562,1135.26623535156,1150.97729492188,1195.11926269531,1231.34692382812,1266.95458984375,1296.74072265625,1322.40466308594
"Sweden",348.199462890625,364.795837402344,370.083587646484,378.214019775391,386.950042724609,403.731506347656,415.273376464844,434.636657714844,449.584777832031,447.559112548828,428.136016845703,453.619110107422,468.113739013672,465.359832763672,470.887268066406,483.402496337891,505.103790283203,515.562438964844,528.801635742188,539.113464355469,545.555053710938
"United Kingdom",2174.02124023438,2248.75268554688,2315.63891601562,2369.46240234375,2447.33203125,2505.43041992188,2585.09643554688,2657.17700195312,2721.76123046875,2714.10888671875,2598.818359375,2649.48291015625,2690.28881835938,2730.076171875,2788.48583984375,2861.19482421875,2928.59106445312,2984.76611328125,3041.23999023438,3082.0146484375,3125.42919921875
"Recently Acceded Countries",790.429951667786,822.702470302582,847.893847465515,878.377023696899,914.12980556488,967.328367710114,1015.59125423431,1082.16824388504,1151.31721925735,1196.54408836365,1154.59597969055,1172.17681503296,1209.68896770477,1218.79585075378,1233.17736148834,1270.30665969849,1320.536028862,1362.00789928436,1427.61405849457,1491.00343322754,1546.11500835419
"Bulgaria",28.6070327758789,29.9750347137451,31.119255065918,32.9717903137207,34.6704483032227,36.9038696289062,39.5438041687012,42.2336387634277,45.0029296875,47.741641998291,46.1071739196777,46.3699035644531,47.4600486755371,47.6311836242676,47.7830009460449,48.6882705688477,50.6307029724121,52.5605125427246,54.4036026000977,56.0815124511719,57.9723663330078
"Croatia",37.7806434631348,39.0194358825684,40.3252983093262,42.3883476257324,44.7791748046875,46.6421699523926,48.6543312072754,51.0874443054199,53.777904510498,54.7242050170898,50.6968193054199,49.938175201416,49.7834739685059,48.6694946289062,48.4025192260742,48.3522148132324,49.5306434631348,51.2561416625977,52.8651428222656,54.2896919250488,55.883674621582
"Cyprus",14.6190099716187,15.4910793304443,16.1033706665039,16.7028923034668,17.141056060791,18.0026187896729,18.8762836456299,19.766077041626,20.7737636566162,21.5313415527344,21.0974292755127,21.5224800109863,21.6088809967041,20.8640613555908,19.4968242645264,19.1334590911865,19.7791500091553,21.1135711669922,22.0343818664551,22.9282379150391,23.6688404083252
"Czech Republic",120.659461975098,125.807685852051,129.467132568359,131.606567382812,136.348342895508,143.038360595703,152.383728027344,162.827392578125,171.950012207031,176.562210083008,168.082672119141,171.903900146484,174.960067749023,173.560668945312,172.72119140625,177.410781860352,186.829940795898,191.408279418945,199.739532470703,205.424224853516,210.695266723633
"Estonia",12.68616771698,13.9682989120483,14.8035478591919,15.8105421066284,17.0068778991699,18.1578102111816,19.8810405731201,21.813232421875,23.465274810791,22.2711391448975,19.0565528869629,19.5692386627197,21.0259590148926,21.6829872131348,21.9748802185059,22.6313419342041,23.048864364624,23.6554107666016,25.0153141021729,26.2063331604004,27.3422412872314
