"","ISO 3","Continent","Country","Corporate Tax Rate","Tax Rate Accounting for Global Minimum Tax","Joined the Pillar Two Statement","Income Inclusion Rule (IIR)","Undertaxed Profits Rule (UTPR)","Qualified Domestic Minimum Top-up Tax (QDMTT)"
"137","MAC","AS","China, Macao Special Administrative Region",12,12,"No","No","No","No"
"138","MAF","NO","Saint Martin (French Part)",20,20,"No","No","No","No"
"139","MAR","AF","Morocco",33,33,"No","No","No","No"
"140","MCO","EU","Monaco",25,25,"No","No","No","No"
"141","MDA","EU","Republic of Moldova",12,12,"No","No","No","No"
"142","MDG","AF","Madagascar",20,20,"No","No","No","No"
"143","MDV","AS","Maldives",15,15,"No","No","No","No"
"144","MEX","NO","Mexico",30,30,"Yes","No","No","No"
"145","MHL","OC","Marshall Islands",NA,NA,"No","No","No","No"
"146","MKD","EU","The former Yugoslav Republic of Macedonia",10,10,"Yes","No","No","No"
"147","MLI","AF","Mali",30,30,"No","No","No","No"
"148","MLT","EU","Malta",35,35,"Yes","No","No","No"
"149","MMR","AS","Myanmar",22,22,"No","No","No","No"
"150","MNE","EU","Montenegro",15,15,"Yes","No","No","No"
"151","MNG","AS","Mongolia",25,25,"Yes","No","No","No"
"152","MNP","OC","Northern Mariana Islands",21,21,"No","No","No","No"
"153","MOZ","AF","Mozambique",32,32,"No","No","No","No"
"154","MRT","AF","Mauritania",25,25,"No","No","No","No"
"155","MSR","NO","Montserrat",30,30,"No","No","No","No"
"156","MTQ","NO","Martinique",NA,NA,"No","No","No","No"
"157","MUS","AF","Mauritius",15,15,"Yes","No","No","No"
"158","MWI","AF","Malawi",30,30,"No","No","No","No"
"159","MYS","AS","Malaysia",24,24,"Yes","No","No","No"
"160","MYT","AF","Mayotte",NA,NA,"No","No","No","No"
"161","NAM","AF","Namibia",32,32,"Yes","No","No","No"
"162","NCL","OC","New Caledonia",30,30,"No","No","No","No"
"163","NER","AF","Niger",30,30,"No","No","No","No"
"164","NFK","OC","Norfolk Island",NA,NA,"No","No","No","No"
"165","NGA","AF","Nigeria",30,30,"No","No","No","No"
"166","NIC","NO","Nicaragua",30,30,"No","No","No","No"
"167","NIU","OC","Niue",30,30,"No","No","No","No"
"168","NLD","EU","Netherlands",25.8,25.8,"Yes","Yes","No","Yes"
"169","NOR","EU","Norway",22,22,"Yes","Yes","No","Yes"
"170","NPL","AS","Nepal",25,25,"No","No","No","No"
"171","NRU","OC","Nauru",25,25,"No","No","No","No"
"172","NZL","OC","New Zealand",28,28,"Yes","No","No","No"
"173","OMN","AS","Oman",15,15,"Yes","No","No","No"
"174","PAK","AS","Pakistan",29,29,"No","No","No","No"
"175","PAN","NO","Panama",25,25,"Yes","No","No","No"
"176","PCN","OC","Pitcairn",NA,NA,"No","No","No","No"
"177","PER","SA","Peru",29.5,29.5,"Yes","No","No","No"
"178","PHL","AS","Philippines",25,25,"No","No","No","No"
"179","PLW","OC","Palau",NA,NA,"No","No","No","No"
"180","PNG","OC","Papua New Guinea",30,30,"Yes","No","No","No"
"181","POL","EU","Poland",19,19,"Yes","No","No","No"
"182","PRI","NO","Puerto Rico",37.5,37.5,"No","No","No","No"
"183","PRK","AS","Democratic People's Republic of Korea",NA,NA,"No","No","No","No"
