"","iso_3","continent","country","year","rate","gdp","oecd","eu27","gseven","gtwenty","brics"
"8221","LBY","AF","Libya","2025",20,68.0464282004173,0,0,0,0,0
"7720","LCA","NO","Saint Lucia","2025",30,2.21861529881154,0,0,0,0,0
"7785","LIE","EU","Liechtenstein","2025",12.5,NA,0,0,0,0,0
"7831","LKA","AS","Sri Lanka","2025",30,95.4428170169245,0,0,0,0,0
"7961","LSO","AF","Lesotho","2025",25,2.24394050259861,0,0,0,0,0
"8026","LTU","EU","Lithuania","2025",16,58.5756223364058,1,1,0,0,0
"8091","LUX","EU","Luxembourg","2025",23.87,74.210380136491,1,1,0,0,0
"8156","LVA","EU","Latvia","2025",20,35.1793089708941,1,1,0,0,0
"8925","MAC","AS","China, Macao Special Administrative Region","2025",12,53.0690438159557,0,0,0,0,0
"8508","MAF","NO","Saint Martin (French Part)","2025",20,NA,0,0,0,0,0
"8286","MAR","AF","Morocco","2025",34,141.196126581135,0,0,0,0,0
"8351","MCO","EU","Monaco","2025",25,NA,0,0,0,0,0
"8397","MDA","EU","Republic of Moldova","2025",12,10.9381333250534,0,0,0,0,0
"8554","MDG","AF","Madagascar","2025",20,16.4465970458749,0,0,0,0,0
"9323","MDV","AS","Maldives","2025",15,6.69892999418218,0,0,0,0,0
"9453","MEX","NO","Mexico","2025",30,1318.50439236596,1,0,0,1,0
"8665","MKD","EU","The former Yugoslav Republic of Macedonia","2025",10,13.1586179197374,0,0,0,0,0
"8730","MLI","AF","Mali","2025",30,20.5928767159804,0,0,0,0,0
"9193","MLT","EU","Malta","2025",35,19.722524958186,0,1,0,0,0
"8795","MMR","AS","Myanmar","2025",22,65.5447531840935,0,0,0,0,0
"8462","MNE","EU","Montenegro","2025",15,NA,0,0,0,0,0
"8860","MNG","AS","Mongolia","2025",25,15.7635583142794,0,0,0,0,0
"8990","MNP","OC","Northern Mariana Islands","2025",21,NA,0,0,0,0,0
"9583","MOZ","AF","Mozambique","2025",32,16.7765843447189,0,0,0,0,0
"9082","MRT","AF","Mauritania","2025",25,8.90183637835798,0,0,0,0,0
"9147","MSR","NO","Montserrat","2025",30,NA,0,0,0,0,0
"9258","MUS","AF","Mauritius","2025",15,16.553286973739,0,0,0,0,0
"9388","MWI","AF","Malawi","2025",30,11.175638152901,0,0,0,0,0
"9518","MYS","AS","Malaysia","2025",24,420.150735912028,0,0,0,0,0
"9648","NAM","AF","Namibia","2025",30,14.5238062611728,0,0,0,0,0
"9713","NCL","OC","New Caledonia","2025",30,NA,0,0,0,0,0
"9759","NER","AF","Niger","2025",30,17.9122541534736,0,0,0,0,0
"9870","NGA","AF","Nigeria","2025",30,446.582103416006,0,0,0,0,0
"9935","NIC","NO","Nicaragua","2025",30,16.2484361606823,0,0,0,0,0
"10241","NIU","OC","Niue","2025",30,NA,0,0,0,0,0
"10000","NLD","EU","Netherlands","2025",25.8,947.57733809927,1,1,0,0,0
"10065","NOR","EU","Norway","2025",22,454.753282025218,1,0,0,0,0
